"ID","category","country","description","price","rating","region","title","varietal","vintage"
"77588","White","Austria","The merest hint of reduction reminds you of how young this wine actually is. On the palate, a very generous full-fruited picture unfolds: there is very ripe juicy yellow pear and countless juicy citrus notions of clementine, tangerine, satsuma and orange. All of this is cut with precise, tart and ripe lemon freshness. This interplay of tart and ripe creates tension and drive. This is lovely now but is a powerhouse of potent long-lasting fruit. Drink 2017–2040.","70",95,"Kamptal","Bründlmayer 2015 Heiligenstein Lyra Reserve Riesling (Kamptal)","Riesling","2015"
"77589","White","US","Allen Vineyard grapes have the maturity and complexity to impart a boldly balanced roundness of lemon curd, fig and apple, plus a searing undercurrent of salty minerality. With substantial weight, and texture for miles, it remains bright and fresh in the glass, with a lingering impression of cinnamon toast.","58",95,"California","Williams Selyem 2014 Allen Vineyard Chardonnay (Russian River Valley)","Chardonnay","2014"
"77590","White","Austria","The gentlest hint of the purest ripe apricot aroma rises from the glass. There is the merest touch of blossom honey before the palate opens up into a nirvana of apricot and rounded aromatic orange and mandarin flavors. This is clean, precise and impressive—a picture postcard of the sunny 2015 vintage. This may be charming now but, wait a few years and it will be lethal. Drink now–2030.","39",95,"Kamptal","Eichinger 2015 Heiligenstein Reserve Riesling (Kamptal)","Riesling","2015"
"77591","White","France","This lush, concentrated Viognier combines cool-weather weight with summertime echoes of apricots and honey. Hints of toasty oak provide an ample frame for this full-bodied wine that avoids any sense of oiliness or heaviness while remaining bold, rich and long. Drink now–2020.","124",95,"Rhône Valley","Paul Jaboulet Aîné 2014 Domaine des Grands Amandiers  (Condrieu)","Viognier","2014"
"77592","White","Austria","The merest touch of tropicality, of ripe passion fruit, hovers on the nose before lemon and orange kick in. The palate still has an edge of reduction but that is a good and reassuring sign. There is a rich core of ripe poised fruit: tangerine and aromatic oranges are firmly held with grapefruit freshness. There is a beautiful juxtaposition of generosity and tangy freshness. The finish is lip-smacking and utterly fresh—that rich core of fruit invites you to sip and explore again and again.","51",95,"Kremstal","Salomon-Undhof 2015 Steiner Kögl Reserve Riesling (Kremstal)","Riesling","2015"
"77593","White","US","Along with a fascinating nose, this bottling from the appellation's westernmost vineyard offers the rounded ripeness of cherimoya, nectarine and white peach but with a laser-sharp line of crushed sea shell and flint minerality alongside scratched lemon skin. The palate rides that chalky line the whole way, offering hints of lime pith, tangerine, sea salt and just enough almond warmth.","34",95,"California","Ryan Cochrane 2014 Solomon Hills Vineyard Chardonnay (Santa Maria Valley)","Chardonnay","2014"
"77594","Red","US","The new oak is dialed down a bit to 33% in this memorable red from the producer's estate Quail Hill Vineyard. Lovely in every way, it opens in rose petals and a subtlety of Asian five-spice, before a succulence of cranberry, rhubarb and orange unleash a fullness of fruit and lush texture on the palate.","70",95,"California","Lynmar 2014 Monastery Pinot Noir (Russian River Valley)","Pinot Noir","2014"
"77595","Red","US","Very savory aromas of roasted lamb, bacon fat, teriyaki and crushed pepper meet with light blueberry and a touch of mint on the nose of this delicious, well-rounded bottling by winemaker Sashi Moorman from the vineyard's oldest blocks. The palate kicks off with a zesty acidity, then come waves of black pepper-crusted beef roast, oregano, bay leaf, dark plum fruit and lavender. The solid structure ensures cellar potential but it's ready to drink today.","42",95,"California","Stolpman 2014 Originals Syrah (Ballard Canyon)","Syrah","2014"
"77596","Red","US","The La Jota and W.S. Keyes vineyards are the sources for this classically styled wine that is intense and alive in minerality. Clove, black pepper and mountains of dried herb are front and center between firm, dusty tannin and oak. The texture is plush and velvety on the palate, with plenty of length on the finish.","85",95,"California","La Jota Vineyard 2013 Merlot (Howell Mountain)","Merlot","2013"
"77597","Red","US","A designation used only when a vintage deserves, this reserve is definitely worthy. Almost a decade after bottling, it offers an intensity of chocolate, cinnamon and clove against soft, mellowed and structured tannin. Dusty sage and a bramble of blackberry complete the picture. It may have another five to seven years of beauty left within, but why wait?","260",95,"California","Jarvis 2007 Reserve Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2007"
"77598","White","Austria","Clouds of aromatic flower play along with zesty orange flavors. Grapefruit provides spice and drive. The palate shows that counterpoint of ripeness and tartness that makes this so very moreish. This is juicy and powerful, yet precise and toned despite all its generosity. This is a light, tightrope walk between two thrilling worlds. It's full of life and joy with an endless finish.","29",95,"Kamptal","Eichinger 2015 Gaisberg Reserve Riesling (Kamptal)","Riesling","2015"
"77599","White","Austria","Wonderfully concentrated notes of ripe mirabelle plums open up on the nose. There also is a heady lemon note. The palate is rich with the same fleshy ripe fruit but has a fault line of zesty orange at its core that provides focus and seems to illuminate clouds of ripe aromatic citrus at every turn. This shimmers with tangerine and clementine. The body is immensely concentrated but has total direction and drive. Enjoy 2020–2040.","68",95,"Wachau","Franz Hirtzberger 2015 Hochrain Smaragd Riesling (Wachau)","Riesling","2015"
"77600","Red","Italy","Earthy aromas of tilled soil, underbrush, leather, purple flower, cedar and ripe black-skinned berry lead the way on this delicious blend of 85% Cabernet Sauvignon and 15% Petit Verdot. The smooth full-bodied palate doles out juicy blackberry, red currant, licorice, exotic spice, mocha and a hint of game while tightly knit but velvety tannins lend both structure and finesse. It's already compelling but give it time to fully develop. Drink 2018–2027.","242",95,"Tuscany","Castello dei Rampolla 2012 d'Alceo Red (Toscana)","Red Blend","2012"
"77601","Sparkling","US","This is a beautiful, complex and complete wine, from the delicate, spiced raspberry aroma through the creamy, nuanced finish. Subtle but well-defined fruit flavors like white cherry and raspberry pulse across the palate, buoyed by an ultrafine effervescence and lively acidity. But the texture is smooth around the edges, lending a sense of extra depth and layering to this extraordinary bottle. Just coming into its own now, it will improve through at least 2020.","150",96,"California","Schramsberg 2008 J. Schram Rosé (North Coast)","Rosé","2008"
"77602","Red","Italy","Red berry, cedar and light spice aromas lead the way on this dazzling red. The vibrant palate is loaded with finesse, delivering bright red currant, red raspberry, white pepper and chopped herb alongside bright acidity and firm, polished tannins. Impeccably balanced, it's loaded with elegance, energy and intensity but it's still young, so give it time to fully develop. Drink 2020–2038.","235",98,"Tuscany","Tenuta San Guido 2013  Bolgheri Sassicaia","Red Blend","2013"
"79238","Red","Italy","Tilled earth, underbrush, rose petal, perfumed berry, aromatic herb and a balsamic note are some of the many alluring scents you'll find on this gorgeous red. The juicy palate is both earthy and loaded with finesse, doling out ripe dark cherry, raspberry, pipe tobacco, licorice and energizing mineral. Firm, polished tannins provide structure. It's already almost accessible but will continue to evolve and age beautifully. Drink from 2019 through 2029.","72",96,"Piedmont","Proprietà Sperino 2011  Lessona","Nebbiolo","2011"
"79239","White","US","From the beautiful, historic site planted to some of the oldest vines of the variety in Northern California, this delicious white explodes in juicy green apple and an intensity of fresh-squeezed lemon. That succulence lingers atop a lengthy, salty texture wrapped in subtle, supportive oak.","40",95,"California","Robert Mondavi 2014 To Kalon Vineyard Estate Grown Reserve Fumé Blanc (Oakville)","Fumé Blanc","2014"
"79240","Red","US","Lengthy and soft, this Petaluma Gap-influenced red shows lilting waves of strawberry-rhubarb compote and an undeniable layering of earthy anise and perceptible salinity. Currant, black tea and rose petals give it additional edge, buoyed by a strength of silky body and earthy elegance.","65",95,"California","Three Sticks 2014 Gap's Crown Pinot Noir (Sonoma Coast)","Pinot Noir","2014"
"79390","Red","US","Sineann's Wy'east designate continues on a roll in 2015, and is simply one of the finest values in any Oregon Pinot Noir. Streaked with black tea, leavened with rose petals, dusted with cocoa and spiced up with a hint of anise, it's a wine of stunning complexity and length. Vivid berry fruit flavors bring pinpoint focus throughout a seemingly endless parade of flavors.","36",95,"Oregon","Sineann 2015 Wy'east Pinot Noir (Columbia Gorge (OR))","Pinot Noir","2015"
"79392","Red","US","This wine employs 73% Spottswoode Estate Vineyard fruit, but also ventures to other sites, including Young Inglewood, Oakville Ranch and Darms Lane. Dusty cedar, blackberry and pencil shavings dot a structured, classically stylized landscape, additionally seasoned in black pepper and clove. It has length for miles; enjoy best 2023 through 2033.","80",95,"California","Spottswoode 2013 Lyndenhurst Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2013"
"79393","White","US","Dark yellow in color, this wine shows tangy green apple and a richer, more concentrated element of apple-spice cake, with supportive, balanced acidity. With a bright, lifted finish, this less-expensive offering compared with many of the producer's single-vineyard designates never lets up on complexity or deliciousness.","35",95,"California","Gary Farrell 2014 Russian River Selection Chardonnay (Russian River Valley)","Chardonnay","2014"
"79394","Red","Spain","Extremely ripe aromas of prune, blackberry, cassis and cinnamon announce a jammy loaded palate that weighs nothing short of a ton. The flavor profile is a black-fruit bonanza accented by graphite and blackened toast. Drink this monster wine from a dry, hot vintage from 2019–2034.","600",95,"Northern Spain","García Figuero 2012 Tinus  (Ribera del Duero)","Tempranillo","2012"
"79395","Red","Spain","Dark, toasty aromas suggest creosote and chimney smoke; throw in black olive, blackberry, dark plum and mocha scents and this is one hefty package. Fully tannic, with toasty chocolaty flavors of black fruits and oak-based spice, this finishes full and fierce, but not mean. Drink from 2019–2035.","150",95,"Northern Spain","Emilio Moro 2011 Malleolus de Valderramiro  (Ribera del Duero)","Tempranillo","2011"
"79396","Red","France","Fragrant and perfumed, this wine is the epitome of great Cabernet Sauvignon. It is fruity, juicy yet with serious concentrated tannins. There is spice from the wood aging along with a dash of pepper, all the while just bringing out the beautiful black-currant flavors. Drink this wine from 2024","100",95,"Bordeaux","Château Lynch-Bages 2014  Pauillac","Bordeaux-style Red Blend","2014"
"79397","Red","US","This wine is made to highlight the vintage and best vineyards, relying heavily on the producer's top-end site, Sacrashe. A hugely constructed wine, bold and brawny, it also manages to be soft and velvety, allowing for a greater contribution of savory elements than sweet, from leather to black pepper to Mexican chocolate. It pushes the boundaries on decadence in mysterious ways.","165",95,"California","Hall 2013 Kathryn Hall Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2013"
"79398","Red","US","A blend of Cabernet Sauvignon (70%) and Syrah, brooding aromas of ground stone, herb, brown stem and black fruit give way to dense layered blackberry flavors. It shows great focus, poise, texture and exquisite length. Best from 2021 to 2027.","100",95,"Washington","K Vintners 2013 King Coal Stoneridge Vineyard Red (Washington)","Red Blend","2013"
"79399","Red","US","This 1.2-acre block is planted to the heritage Swan clone, which in this bottling unleashes fascinating aromas, from dark pomegranate, black plum, baked cherry and even elderberry to dried rose petals, violets and dusty earth. Exotic and well-integrated flavors of plum, mulberry, light clove, dried ginger and hibiscus swirl on the elegant, enticing palate.","80",95,"California","Scar of the Sea 2014 Bien Nacido Vineyard Block 45 Swan Pinot Noir (Santa Maria Valley)","Pinot Noir","2014"
"79400","Red","US","There is impressive depth to the nose of this bottling, with concentrated black cherry, black plum and blueberry fruit enhanced by white pepper, roasted meat, licorice and hot asphalt. The palate is awash in savory flavors, with soy, charred beef and tobacco followed by waves of blueberry and leather and a wash of vanilla, plum skin and mocha, all atop perfectly polished tannins.","50",95,"California","Falcone 2013 Mia's Vineyard Cabernet Sauvignon (Paso Robles)","Cabernet Sauvignon","2013"
"79401","Red","US","Bringing together multiple sites in one wine, this provides a fine example of the sum equalling more than the parts. Well balanced and crafted, it offers aromas of sandalwood and smoked meat that contrast with more exuberant, textured layers of black cherry and citrus peel.","45",95,"California","Gary Farrell 2014 Russian River Selection Pinot Noir (Russian River Valley)","Pinot Noir","2014"
"79402","Red","US","This is a stellar wine. Dusty citrus spiked with clove comes to mind first aromatically and continues through to the palate. Tart acidity supports sublime texture and a lightness that never means lean. Red currant, grapefruit and orange provide additional lift and focus.","75",95,"California","Gary Farrell 2014 Rochioli Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2014"
"79403","Red","US","Site speaks loudly in this beautifully made wine that is allowed to show its naturally inclined power within a constraint of cool-climate terroir. Juicy and explosive on the palate in cherry, raspberry, forest floor and jolts of cardamom, it's both lush and toasty, with a firmness to the tannin structure that suggests plenty of aging potential. It should get pretty interesting between 2024 and 2034, if one can possibly wait.","65",95,"California","Three Sticks 2014 Durell Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","2014"
"79404","Red","US","This winery's bottlings manage to pack bright, fruity energy and a wide array of herbs and seasonings into the same lithe frame. In this case, sagebrush and chaparral meet candied red cherry and dark pomegranate on the nose. The palate shows lots of oregano, thyme and bay leaf against a ripe cranberry base, with touches of black tea and rosehip adding to the complexity.","50",95,"California","Melville 2014 Sandy's Pinot Noir (Sta. Rita Hills)","Pinot Noir","2014"
"79405","Red","US","Plump yet bright with fruit, suave yet spicy with herbs and gamy elements, this bottling shows candied cherry and cranberry alongside sage, eucalyptus and slight barnyard notes. The same juicy red fruit immediately elevates the palate, which is then leveled by lively Mediterranean spice and a buoyant acidity.","50",95,"California","Melville 2014 Clone 115 Indigene Pinot Noir (Sta. Rita Hills)","Pinot Noir","2014"
"79406","Red","Portugal","Always impressive, this wine is structured and powerful, with firm tannins that are still coming together. Packed with black fruits and tannins, it conveys a rich, almost Port-like quality, perhaps because the grapes are foot-trodden as in Port. Drink this wine from 2022.","100",95,"Douro","Quinta Vale Dona Maria 2014 Vinha da Francisca Red (Douro)","Portuguese Red","2014"
"79407","Red","France","This is rich, while also such a stylish wine. It is ripe and full of tannins while masking that firm structure with immensely generous fruit. The two give the wine power, density and elegance. Drink this impressive wine from 2025.","130",95,"Bordeaux","Château Pichon Longueville 2014  Pauillac","Bordeaux-style Red Blend","2014"
"79408","Red","US","The mountain appellation speaks loudly in this wine, contributing juicy blackberry, tar and leather, all within a forested context of wild truffle and crunchy leaves. Concentrated and robust in body and ripeness, it unwinds slowly in the glass, imparting jolts of black pepper as it goes.","75",95,"California","Mt. Brave 2013 Cabernet Sauvignon (Mount Veeder)","Cabernet Sauvignon","2013"
"79409","Red","Italy","Combining finesse and structure, this impressive wine opens with fantastic scents of new leather, woodland berry, baking spice and balsamic notes. A blend of Nebbiolo and 15% Vespolina, the enticing palate doles out juicy black cherry, raspberry and white pepper framed in firm refined tannins. An energizing mineral note carries the lingering finish. Despite the warm vintage, it still boasts freshness. Drink through 2026.","55",95,"Piedmont","Le Piane 2009  Boca","Red Blend","2009"
"79410","Red","US","Softly layered, this ripe, bold wine shows a wealth of body and complexity. The ripeness will please for its interwoven notions of Dr Pepper, black-cherry jam and black pepper, its tannins leathery and full of bravado.","150",95,"California","Macauley 2013 Reserve Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2013"
"79411","Red","US","Sourced largely from the Martin Stelling Vineyard behind the winery in the western shade of Oakville, this wine opens with charred oak and a smoky, meaty character that intrigues. Seamless on the palate in soft, perceptible tannin, it delves into characteristics of cedar and brushy sage as it goes, unveiling a wildness that's hard to contain. Its bright, fresh finish gives it a roundness that's ready to enjoy now.","155",95,"California","Far Niente 2013 Estate Bottled Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","2013"
"79412","White","Germany","Dulcet peach, apricot and citrus sweetness extends languorously from nose to finish in this powerfully ripe, hedonistic wine. It's dancing and delicate in frame, yet unctuously juicy, filling the mouth with a blanket of luminous fruit. Sprightly tangerine acidity and delicate tea-leaf tannins lend structure to a long, penetrating finish. It's irresistible already but should continue to drink well for decades.","114",95,"Mosel","Dr. Loosen 2014 Erdener Prälat Gold Capsule Auslese Riesling (Mosel)","Riesling","2014"
"79413","Red","France","This wine, with its massive tannins and rich fruit, is obviously set for a long life. It does have the contrast of fresh black-currant acidity to give it a lift. But with the power behind it, the wine will develop slowly. Drink from 2025.","75",95,"Bordeaux","Château Léoville Barton 2014  Saint-Julien","Bordeaux-style Red Blend","2014"
"79414","Red","US","Black in the glass and dense with aromas of cooked blueberry, vanilla, maple syrup, brown sugar, tar, fudge and fresh purple flowers, this wine takes ripeness and concentration to impressive heights. Lavish on the palate with sticky, grippy tannins, the flavors of blueberry fudge, cola, black pepper and lavender are bold and delicious.","47",95,"California","Herman Story 2014 Nuts &amp; Bolts Syrah (California)","Syrah","2014"
"79415","Red","Argentina","If you love massive Argentine reds with purity of fruit and fine oak, then this blend is up your alley. Toasty blackberry aromas come with plenty of oak grain, vanilla and depth. This is profoundly deep on the palate, while toasty blackberry, chocolate and peppery flavors finish with mocha and bracing tannins that aren't too rocky or hard. Drink through 2025.","74",95,"Mendoza Province","Pascual Toso 2014 Finca Pedregal Single Vineyard Barrancas Maipú Selected Lots Cabernet Sauvignon-Malbec (Mendoza)","Cabernet Sauvignon-Malbec","2014"
"79416","Red","US","This is Robert Mondavi winemaker Genevieve Janssens own micro-project with husband Luc, and she doesn't miss the chance to craft a classic, gorgeous wine. Blending 85% Cabernet Sauvignon from Hendry Ranch and 15% Cabernet Franc from Detert East Vineyard, this wine offers luxurious aromatics and a juicy core of blackberry, black cherry and soft, integrated tannin, a beautiful marriage of sites and vintner.","145",95,"California","Portfolio 2012 Red (Napa Valley)","Bordeaux-style Red Blend","2012"
"79417","Red","Portugal","The estate is owned by the Olazabal family, descendants of Antonia Ferreira who created this and many other estates in the 19th century. This is a major wine, ripe and full of rich tannins and concentrated fruit. It is always one of the longest-lived wines from the Douro and this vintage has the structure and the fruit weight to develop well. An attractive spicy, smoky character adds extra interest. Drink from 2022.","100",95,"Douro","Quinta do Vale Meão 2014 Red (Douro)","Portuguese Red","2014"
"79418","Red","US","A wine marking the 50th anniversary of Robert Mondavi Winery's founding, this shows the grandeur of the man, the vineyard and the vintage. Full bodied and robust, it's intense in bark, tar and black licorice, with dottings of coconut. Aromatically inviting, it's dusty and soft, with acres of complexity and structure. Enjoy it in 2023 and beyond.","155",95,"California","Robert Mondavi 2013 To Kalon Vineyard 50th Anniversary Reserve Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","2013"
"79419","Red","US","Sultry aromas of black plum, violet, lava rocks, smoke, caramelized beef, forest floor and star anise draw the nose into this hearty, well-rounded wine. There is both vibrant energy and tannic grip to the palate, with dense, dark cranberry, tangy fruit skins, a touch of vanilla and a minty fennel element on the finish.","75",95,"California","Walt 2014 Sierra Mar Pinot Noir (Santa Lucia Highlands)","Pinot Noir","2014"
"79420","Red","Italy","Full-bodied and velvety, this opens with alluring aromas of baking spice, mature plum, violet, Alpine herb and a balsamic note. The concentrated palate is smooth and robust, but it also boasts a weightless quality, delivering dried black cherry, nutmeg, cinnamon, anise, dried date and pipe tobacco alongside firm polished tannins and fresh acidity. A mineral note closes the finish. This is the best Sfursat 5 Stelle I've tried so far. Drink 2018–2028.","82",95,"Lombardy","Nino Negri 2013 5 Stelle  (Sforzato di Valtellina)","Nebbiolo","2013"
"79421","Red","US","This full-bodied, concentrated wine shows plenty of power in its bringing together of the variety with smaller percentages of Merlot, Cabernet Franc, Petit Verdot and Malbec. With a huge presence on the palate that lingers and stays in one's brain, it shows a reductive quality of toasted oak along with black pepper, bark and leather saddle,. It's a wine to enjoy from a giant leather chaise, if possible. Cellar until 2023.","85",95,"California","La Jota Vineyard 2013 Howell Mountain Estate Cabernet Sauvignon (Howell Mountain)","Cabernet Sauvignon","2013"
"79422","Red","US","From the Happy Canyon-based team behind the ultra luxury Crown Point project comes this bottling, offering a taste of the high life for a slightly more affordable price. Pressed blueberry, black cherry and sour plum aromas mesh with dried oregano, bay leaf, black pepper and pencil shavings on the nose. There's lots of depth to the palate, with dark olallieberry, eucalyptus oil and pine needle flavors leading into a hazelnut, caramel, coffee and vanilla finish.","75",95,"California","Westerly 2012 Fletcher's Red (Santa Ynez Valley)","Red Blend","2012"
"79423","Red","US","Aromas of pomegranate, black fruit, herb and barrel spice lead to rich seamless palate-coating dark-fruit flavors. It's hedonistic but retains a sense of balance along with an unabashed deliciousness.","70",95,"Washington","K Vintners 2013 The Hidden Northridge Vineyard Syrah (Wahluke Slope)","Syrah","2013"
"79424","Red","US","From stunningly set vines overlooking the Carmel Valley that in this vintage produced only 1.25 tons an acre (or 1.12 pounds per plant) comes this stellar wine, redolent on the nose with black plum, mulberry, turned earth, wet mud, woody sagebrush, incense and sandalwood. There is great energy on the palate, with mulberry and elderberry flavors enhanced by light coffee, soil and fennel bulbs.","55",95,"California","Albatross Ridge 2014 Estate Reserve Pinot Noir (Carmel Valley)","Pinot Noir","2014"
"79425","Red","Italy","Red berry, aromatic herb, pressed violet and dark spice aromas meld together in the glass. Firmly structured, the palate boasts intensity and energy, offering dark cherry, licorice and mint set against a backbone of fine-grained tannins and fresh acidity. It's well balanced but young so give this time to fully develop. Drink 2020–2032.","450",95,"Piedmont","Gaja 2013 Costa Russi  (Barbaresco)","Nebbiolo","2013"
"79426","Red","France","This is a complete wine, full of both tannins and great swathes of ripe fruit. It has a serious side as well in its solid structure and concentration. The juicy blackberry fruits are beginning to calm down and meld into a fine dense wine that will age very well. Drink from 2025.","55",95,"Bordeaux","Château Brane-Cantenac 2014  Margaux","Bordeaux-style Red Blend","2014"
"79427","Red","France","Still dry and concentrated and with swathes of rich tannins, the wine is dark and dense. The undertow of ripe black fruit is impressive. It obviously has considerable aging potential, Drink this serious wine from 2025.","50",95,"Bordeaux","Château Giscours 2014  Margaux","Bordeaux-style Red Blend","2014"
"79428","Red","France","This is a full-bodied wine, from one of the leading estates in Margaux. It is ripe with juicy blackberry and black-currant fruits. This fruit contrasts with the dark tannins and powerful structure. It is going to develop slowly and impressively to be ready to drink from 2025.","55",95,"Bordeaux","Château Rauzan-Ségla 2014  Margaux","Bordeaux-style Red Blend","2014"
"79429","Red","US","This is a blockbuster of a wine, powerfully built grape by grape, with just a handful of Merlot. Cherry vanilla, leathery cedar and juicy plum combine around a lush, voluptuous mouthfeel of tension and tannin. Incredibly satisfying, it shows a length of spicy clove on the finish that appears to go on for days. This is a beauty too hard to sock away, though it should do well in the cellar another decade or two.","160",96,"California","Hall 2013 Stags Leap District Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","2013"
"79430","Red","US","Plump and ripe Montmorency cherry kicks off the aromas on this bottling, followed by rain-on-slate minerality, slight hints of cola and a growing sense of sour cranberry. The palate also begins with riper red fruit before diving into extreme minerality and intriguing texture. Then comes tart plums and cranberries, all dusted by savory touches of white pepper. It's quite a ride.","65",96,"California","Pali 2014 Cargasacchi Vineyard Pinot Noir (Sta. Rita Hills)","Pinot Noir","2014"
"79431","Red","Italy","This radiant, fragrant Nebbiolo opens with a potpourri of scents including aromatic herb, leather, cedar, pressed rose petal and dark spice. The luminous, subtle palate is loaded with finesse, delivering juicy red cherry, cinnamon, star anise, white pepper and pipe tobacco. It's impeccably balanced, with noble tannins and bright acidity. Drink now or hold for even more complexity. Drink through 2032.","105",96,"Lombardy","Arpepe 2007 Sassella Vigna Regina Riserva  (Valtellina Superiore)","Nebbiolo","2007"
"79432","Port/Sherry","Portugal","This beautifully perfumed wine has all the tannins that will allow it to age over many decades. It also offers the rich blackberry, dark plum and great structure that will support that aging. As so often, Noval has released a vintage when other major producers have held back. But this powerful wine fully justifies the decision. Drink from 2025 for the fruit, 2030 for the complexity.","105",96,"Port","Quinta do Noval 2014 Vintage  (Port)","Port","2014"
"79433","Red","Italy","Perfumed berry, rose, fragrant blue flower, tilled earth, baking spice and a hint of new leather are just some of the aromas you'll find on this dazzling red. The polished, structured palate is loaded with finesse, delivering a wonderful depth of flavors including raspberry, dark cherry, licorice, mint and white pepper. Vibrant acidity and firm, refined tannins provide impeccable balance. It's still young and will develop even more complexity over the next 10–15 years. Drink 2020–2035.","200",96,"Piedmont","Gaja 2013  Barbaresco","Nebbiolo","2013"
"79434","Red","US","This vineyard continues to impress in both this variety and others, this wine showing off its ability to offer fistfuls of red, blue and black fruit as juicy acidity signals freshness and ageability. A wooded undertone of brush and bramble meets swathes of lavender, licorice and ever-so-satisfying dark chocolate as the length of the wine goes on for days.","62",96,"California","Robert Biale 2014 Limerick Lane Vineyard Zinfandel (Russian River Valley)","Zinfandel","2014"
"79435","Red","US","This is a blend of the best barrels of the vintage, in this year consisting of fruit primarily from Howell and Diamond mountains, with a touch of estate-grown Merlot. It offers astounding levels of richness and concentration alongside a nuanced approach to bold black fruit and spicy earth, its aromas of blackberry and clove peppered in wild violet. It impresses immediately but also pleads for more time in bottle; enjoy best 2020 through 2028.","325",96,"California","Hall 2013 The Bishop Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2013"
"79436","Red","US","The aromas pop, with notes of stargazer lilies, brown stems, green olive and smoked meat, revealing more on each swirl. The fruit and savory flavors are rich and layered, earthshaking in their intensity, with a lengthy finish that only heightens the interest. It's a complete showstopper.","140",96,"Washington","Charles Smith 2013 Royal City Northridge Vineyard Syrah (Columbia Valley (WA))","Syrah","2013"
"79437","Red","Italy","This stunning red is all about finesse and light. It opens with lovely scents of violet, rose, perfumed berry and balsamic aromas while the radiant, almost ethereal palate delivers crunchy red cherry, strawberry, white pepper and mineral intensity. It's impeccably balanced, with bright acidity and firm but elegant tannins. While it's so tempting now, hold for even more complexity. Drink 2018–2033.","35",96,"Piedmont","Colombera &amp; Garella 2013 Pizzaguerra  (Lessona)","Nebbiolo","2013"
"79438","Red","US","This ultra reserve, made in half bottles only, is labeled the winery's best offering. It lives up to the claim, with stunningly rich and broad flavors of black fruits, dusty cedar, tobacco, tea and coffee. The rich and complex barrel flavors are beautifully integrated, seamless and proportioned, and power through a breathtaking finish that lasts for minutes. Drink now and over the next five years.","30",96,"Oregon","Sineann 2015 TFL Pinot Noir (Willamette Valley)","Pinot Noir","2015"
"79439","Red","US","This is a unicorn wine that only gets made in exceptional years—the last time was a decade ago. Hailing from Morrison Lane, the oldest Syrah plantings in the valley, it brings mesmerizing aromas of blackberry, black fruit, moist earth and wet stone. The black-fruit flavors consume the palate, showing density, depth and exceptional length. It's a complete heart-stopper.","140",96,"Washington","K Vintners 2012 The Hustler Syrah (Walla Walla Valley (WA))","Syrah","2012"
"79440","Red","Argentina","Just when you think Alta Vista has gotten everything it can from Temis (see the 2012), this comes along to reset the benchmark. Ripe, round and lush on the nose, with full-force blackberry and prune aromas, this shows titanic grip, depth and ripeness on the palate. Flavors of raisin, chocolate and blackberry finish with hefty tannins and a smear of mocha flavor. Drink from 2018–2026.","48",96,"Mendoza Province","Alta Vista 2013 Single Vineyard Temis Malbec (Mendoza)","Malbec","2013"
"79441","Red","US","Mocha, baked plum and black pepper play equal roles in this stunning, full-bodied beauty from the famous site, all within a tightly focused, integrated experience of seamless texture and structure. Richly concentrated and yet able to find a balance of acidity and freshness within its voluptuous nature, this wine impresses from end to end and will do well in the cellar; enjoy best from 2023 to 2025.","175",97,"California","Macauley 2013 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","2013"
"79442","Port/Sherry","Portugal","Nacional Vintage Port comes from a small parcel of ungrafted vines on a series of terraces at the Noval estate. It is a legendary wine, produced only occasionally. This wine is still impressively young and shows that it will age for decades. With its dark black fruits and succulent tannins, it is powerful and concentrated. Drink this wine from 2021 and for many years.","595",98,"Port","Quinta do Noval 2001 Nacional Vintage  (Port)","Port","2001"
"79443","Red","US","This remarkable wine from the famed family-farmed, organic estate impresses immediately in its depth of concentration and stately grace, imparting a wealth of rose-garden compost and wild truffle on the nose. Within the vibrant range of sensual flavor is salted caramel, black cherry and chocolate, alongside a twist of saddle and campfire coffee. Its grip of focused tannin suggests years of aging potential; enjoy best from 2023 to 2033.","185",98,"California","Spottswoode 2013 Family Estate Grown Cabernet Sauvignon (St. Helena)","Cabernet Sauvignon","2013"
"81143","White","France","Properly rich and majestic, this wine also has impressive amounts of crisp acidity to balance its concentration. The wine has layers of peach and apricot along with beautiful acidity and a taut texture that will allow it to age. It is generous and will become opulent and full bodied as it develops. Drink this powerful wine from 2022.","214",95,"Burgundy","Olivier Leflaive 2014  Corton-Charlemagne","Chardonnay","2014"
"81287","White","US","A compelling wine, this begins as a journey into salted country butter, lemongrass and a hint of sea-spray-like brine. Lengthy and spicy, it possesses a great deal of stony minerality that gives it length, breadth and brightness, a vinous come-on to have more.","60",95,"California","Lynmar 2014 Quail Hill Vineyard Chardonnay (Russian River Valley)","Chardonnay","2014"
